time                max{T}              x(max{T})           y(max{T})           z(max{T})           vx(max{T})          vy(max{T})          vz(max{T})          R(max{T})           vr(max{T})          T_center            max{Mach}           
7.9755318913e-01    9.3199991054e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    6.0285283137e+05    -1.8905261111e+05   2.0796593699e+05    6.4777827937e+06    5.3959832099e+05    7.6020704615e+08    7.9193095258e-04    
8.7754734662e-01    9.3395767343e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    6.7275364595e+05    -2.0775564314e+05   2.2894182584e+05    6.4777827937e+06    6.0214069464e+05    7.6015222850e+08    9.2074808785e-04    
9.6554091986e-01    9.3632504833e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    7.5820879221e+05    -2.3427793622e+05   2.5557415670e+05    6.4777827937e+06    6.7940460515e+05    7.6008433485e+08    1.0868068984e-03    
1.0623338504e+00    9.3910208924e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    8.6286344390e+05    -2.7100286682e+05   2.9092074814e+05    6.4777827937e+06    7.7448388429e+05    7.6000114537e+08    1.3060153441e-03    
1.1688060740e+00    9.4218234750e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    9.8883361682e+05    -3.2066786691e+05   3.3967796336e+05    6.4777827937e+06    8.8870190037e+05    7.5990024858e+08    1.6016197309e-03    
1.2859255200e+00    9.4527538806e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.1366313453e+06    -3.8590373485e+05   4.1091728144e+05    6.4777827937e+06    1.0205798675e+06    7.5978202982e+08    2.0055956875e-03    
1.4147569106e+00    9.4927124780e+08    2.4804687500e+08    2.4804687500e+08    2.4414062500e+08    -2.6325119242e+05   3.1033929736e+05    -9.1177939636e+05   6.4777827937e+06    8.1053789743e+05    7.5965007096e+08    2.5666500421e-03    
1.5564714402e+00    9.5487848129e+08    2.4804687500e+08    2.4804687500e+08    2.4414062500e+08    -3.6866988801e+05   3.9438282328e+05    -1.1500898719e+06   6.4777827937e+06    1.0325426893e+06    7.5950479005e+08    3.3508444361e-03    
1.7123574228e+00    9.6017960190e+08    2.4804687500e+08    2.4804687500e+08    2.4414062500e+08    -5.2621882212e+05   5.1624662356e+05    -1.4749764952e+06   6.4777827937e+06    1.3371731698e+06    7.5931373705e+08    4.4295310847e-03    
1.8838320037e+00    9.6228547491e+08    2.4804687500e+08    2.4804687500e+08    2.4414062500e+08    -7.5787124107e+05   7.0016215895e+05    -1.8984393654e+06   6.4777827937e+06    1.7346029599e+06    7.5889123784e+08    6.1386185214e-03    
2.0724540426e+00    9.6447947824e+08    2.4414062500e+08    2.4804687500e+08    2.4804687500e+08    -1.9059616245e+06   -8.2119935950e+05   2.1331228838e+05    6.4777827937e+06    1.9072920045e+06    7.5778583398e+08    8.6568727911e-03    
2.2799382855e+00    9.5927541525e+08    2.4804687500e+08    2.4804687500e+08    2.5585937500e+08    -6.6954958668e+05   -3.1917340985e+06   3.0607189795e+06    6.4777827937e+06    3.9327453203e+06    7.5432188551e+08    1.1433471336e-02    
2.5081709526e+00    9.8007178251e+08    2.4414062500e+08    2.4414062500e+08    2.4804687500e+08    -6.5856268867e+06   -7.4935153538e+06   -8.6280701996e+05   8.5134744991e+06    9.8878717537e+06    7.4413655470e+08    1.4423135618e-02    
2.6966441111e+00    9.5373012788e+08    2.4414062500e+08    2.4414062500e+08    2.4804687500e+08    -8.6118611563e+06   -8.2412971987e+06   -4.5583918557e+05   8.5134744991e+06    1.1703715757e+07    7.2500872360e+08    1.6263573027e-02    
2.8658033139e+00    9.1628277278e+08    2.4804687500e+08    2.4414062500e+08    2.5585937500e+08    -3.2420813377e+06   -5.0675423109e+06   9.2498338246e+06    8.5134744991e+06    1.0597678529e+07    6.9955846649e+08    1.6294547308e-02    
3.0289299169e+00    8.6395442128e+08    2.4804687500e+08    2.4414062500e+08    2.5585937500e+08    -3.5163362881e+06   -5.1969495940e+06   1.1155411316e+07    8.5134744991e+06    1.2061169506e+07    6.7026987552e+08    1.7011404822e-02    
3.1964819209e+00    7.8745675294e+08    2.5585937500e+08    2.5585937500e+08    2.5195312500e+08    7.4929127720e+06    7.4388136708e+06    4.3329809325e+05    8.5134744991e+06    1.0376124340e+07    6.3582231128e+08    1.7831372234e-02    
3.3576589824e+00    7.5791435351e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -3.9116433270e+05   4.4634542512e+06    -2.3500949493e+06   3.3829117335e+06    4.1596432978e+06    6.0384356251e+08    1.9287006287e-02    
3.5055004381e+00    7.4365783309e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -6.3411949747e+05   5.4367159208e+06    -2.8212904130e+06   3.3829117335e+06    5.1338712423e+06    5.7776369467e+08    2.0046710095e-02    
3.6410397232e+00    7.1300272636e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -8.9496421881e+05   5.9982164074e+06    -2.9813466405e+06   3.3829117335e+06    5.7010609756e+06    5.5735106736e+08    1.9986395742e-02    
3.7778374474e+00    6.8035006918e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.2094544115e+06   6.1781121282e+06    -2.9625569769e+06   3.3829117335e+06    5.9756465985e+06    5.4043034319e+08    1.9550065813e-02    
3.9146937971e+00    6.4981287877e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.5381251268e+06   6.0887222334e+06    -2.8116141588e+06   3.3829117335e+06    6.0266485679e+06    5.2657676992e+08    1.9776940602e-02    
